rank,label,exact_rows,exact_safe_amounts,numeric_mismatches,absolute_safe_error,status_exact,method_exact,plan_exact,earliest_exact,optimistic,pessimistic
122,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=mean;phase=median",3,4,21,5751984.85,17,18,18,16,10,11
123,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=mean;phase=earliest",3,4,21,5751984.85,17,18,18,16,10,11
124,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=median;phase=latest",3,4,21,5967809.93,17,18,18,16,10,11
125,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=median;phase=median",3,4,21,5967809.93,17,18,18,16,10,11
126,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=median;phase=earliest",3,4,21,5967809.93,17,18,18,16,10,11
127,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=mean;phase=latest",3,4,21,5967809.93,17,18,18,16,10,11
128,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=mean;phase=median",3,4,21,5967809.93,17,18,18,16,10,11
129,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=mean;phase=earliest",3,4,21,5967809.93,17,18,18,16,10,11
130,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=median;phase=median",3,4,21,5321612.90,17,18,17,18,12,9
131,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=median;phase=earliest",3,4,21,5321612.90,17,18,17,18,12,9
132,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(26, 33);shortfall=True;periods=3;period_estimator=median;phase=median",3,4,21,5321612.90,17,18,17,18,12,9
133,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(26, 33);shortfall=True;periods=3;period_estimator=median;phase=earliest",3,4,21,5321612.90,17,18,17,18,12,9
134,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=median;phase=latest",3,4,21,5321704.57,17,18,17,18,12,9
135,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(26, 33);shortfall=True;periods=3;period_estimator=median;phase=latest",3,4,21,5321704.57,17,18,17,18,12,9
136,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=median;phase=median",3,4,21,5550838.77,17,18,17,18,12,9
137,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=median;phase=earliest",3,4,21,5550838.77,17,18,17,18,12,9
138,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=median;phase=latest",3,4,21,5551427.40,17,18,17,18,12,9
139,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=median;phase=median",3,4,21,5555919.33,17,18,17,18,12,9
140,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=median;phase=earliest",3,4,21,5555919.33,17,18,17,18,12,9
141,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=median;phase=latest",3,4,21,5556507.96,17,18,17,18,12,9
142,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=median;phase=median",3,4,21,5343879.92,17,18,17,17,11,10
143,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=median;phase=earliest",3,4,21,5343879.92,17,18,17,17,11,10
144,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=median;phase=latest",3,4,21,5344468.55,17,18,17,17,11,10
145,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=mean;phase=latest",3,4,21,5668429.07,16,17,17,18,11,10
